"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0,-0.167388916016,-0.626754760742,-3.30142974854
0.001,-0.167770385742,-0.626754760742,-3.30142974854
0.002,-0.167770385742,-0.626754760742,-3.30142974854
0.003,-0.167388916016,-0.626754760742,-3.29761505127
0.004,-0.167388916016,-0.626754760742,-3.29761505127
0.005,-0.167007446289,-0.626754760742,-3.293800354
0.006,-0.167770385742,-0.622940063477,-3.293800354
0.007,-0.167388916016,-0.619125366211,-3.293800354
0.008,-0.111351013184,6.25,-2.18849182129
0.009,0.0723838806152,2.52590179443,1.4778137207
0.01,0.134906768799,1.25637054443,2.72026062012
0.011,0.155868530273,0.825691223145,3.14331054688
0.012,0.163497924805,0.67310333252,3.29570770264
0.013,0.165786743164,0.623512268066,3.33766937256
0.014,0.166931152344,0.604438781738,3.35292816162
0.015,0.166931152344,0.596809387207,3.36055755615
0.016,0.16731262207,0.593185424805,3.36055755615
0.017,0.166931152344,0.589370727539,3.36437225342
0.018,0.16731262207,0.593185424805,3.36055755615
0.019,0.166931152344,0.593185424805,3.36055755615
0.02,0.16731262207,0.593185424805,3.36055755615
0.021,0.166931152344,0.593185424805,3.36437225342
0.022,0.16731262207,0.596809387207,3.36437225342
0.023,0.166931152344,0.596809387207,3.36437225342
0.024,0.16731262207,0.600624084473,3.36437225342
0.025,0.166931152344,0.600624084473,3.36437225342
0.026,0.166931152344,0.600624084473,3.36437225342
0.027,0.166931152344,0.596809387207,3.36437225342
0.028,0.16731262207,0.596809387207,3.36055755615
0.029,0.166931152344,0.596809387207,3.36437225342
0.03,0.166931152344,0.596809387207,3.36437225342
0.031,0.166931152344,0.596809387207,3.36437225342
0.032,0.166931152344,0.596809387207,3.36437225342
0.033,0.166931152344,0.596809387207,3.36437225342
0.034,0.166931152344,0.596809387207,3.36437225342
0.035,0.166931152344,0.596809387207,3.36818695068
0.036,0.166931152344,0.596809387207,3.36437225342
0.037,0.166931152344,0.593185424805,3.36055755615
0.038,0.166931152344,0.593185424805,3.36437225342
0.039,0.166931152344,0.593185424805,3.36818695068
0.04,0.166931152344,0.593185424805,3.36818695068
0.041,0.166931152344,0.589370727539,3.36437225342
0.042,0.16731262207,0.589370727539,3.36818695068
0.043,0.166931152344,0.593185424805,3.36437225342
0.044,0.16731262207,0.593185424805,3.36818695068
0.045,0.166931152344,0.596809387207,3.36818695068
0.046,0.166931152344,0.596809387207,3.36818695068
0.047,0.16731262207,0.600624084473,3.36818695068
0.048,0.166931152344,0.600624084473,3.36818695068
0.049,0.166931152344,0.596809387207,3.36818695068
0.05,0.166931152344,0.600624084473,3.36818695068
0.051,0.16731262207,0.600624084473,3.36818695068
0.052,0.16731262207,0.600624084473,3.36437225342
0.053,0.166931152344,0.600624084473,3.36437225342
0.054,0.166931152344,0.600624084473,3.36818695068
0.055,0.166931152344,0.600624084473,3.36818695068
0.056,0.166931152344,0.596809387207,3.36437225342
0.057,0.166931152344,0.596809387207,3.36818695068
0.058,0.0906753540039,-5.66253662109,1.83219909668
0.059,-0.0797271728516,-2.41088867188,-1.56345367432
0.06,-0.137271881104,-1.23672485352,-2.70690917969
0.061,-0.156726837158,-0.828742980957,-3.09944152832
0.062,-0.163955688477,-0.691604614258,-3.23276519775
0.063,-0.166244506836,-0.642013549805,-3.27091217041
0.064,-0.167007446289,-0.626754760742,-3.28998565674
0.065,-0.167388916016,-0.619125366211,-3.29761505127
0.066,-0.167388916016,-0.619125366211,-3.29761505127
0.067,-0.167388916016,-0.619125366211,-3.30142974854
0.068,-0.167770385742,-0.622940063477,-3.30142974854
0.069,-0.167388916016,-0.619125366211,-3.29761505127
0.07,-0.167388916016,-0.622940063477,-3.3052444458
0.071,-0.167770385742,-0.626754760742,-3.3052444458
0.072,-0.167388916016,-0.622940063477,-3.30142974854
0.073,-0.167770385742,-0.626754760742,-3.3052444458
0.074,-0.167388916016,-0.626754760742,-3.30142974854
0.075,-0.167388916016,-0.626754760742,-3.30142974854
0.076,-0.167388916016,-0.626754760742,-3.30142974854
0.077,-0.167388916016,-0.626754760742,-3.30142974854
0.078,-0.167388916016,-0.622940063477,-3.30142974854
0.079,-0.167388916016,-0.622940063477,-3.30142974854
0.08,-0.167388916016,-0.622940063477,-3.29761505127
0.081,-0.167388916016,-0.619125366211,-3.29761505127
0.082,-0.167388916016,-0.619125366211,-3.29761505127
0.083,-0.167770385742,-0.619125366211,-3.29761505127
0.084,-0.167388916016,-0.619125366211,-3.29761505127
0.085,-0.167770385742,-0.619125366211,-3.29761505127
0.086,-0.167770385742,-0.619125366211,-3.30142974854
0.087,-0.167388916016,-0.622940063477,-3.30142974854
0.088,-0.167770385742,-0.619125366211,-3.29761505127
0.089,-0.167388916016,-0.622940063477,-3.30142974854
0.09,-0.167388916016,-0.622940063477,-3.29761505127
0.091,-0.167388916016,-0.626754760742,-3.30142974854
0.092,-0.167388916016,-0.626754760742,-3.30142974854
0.093,-0.167388916016,-0.626754760742,-3.30142974854
0.094,-0.167388916016,-0.630569458008,-3.30142974854
0.095,-0.167388916016,-0.626754760742,-3.30142974854
0.096,-0.167770385742,-0.626754760742,-3.30142974854
0.097,-0.167388916016,-0.622940063477,-3.29761505127
0.098,-0.167770385742,-0.619125366211,-3.29761505127
0.099,-0.167388916016,-0.619125366211,-3.293800354
0.1,-0.167388916016,-0.619125366211,-3.29761505127
0.101,-0.167388916016,-0.622940063477,-3.29761505127
0.102,-0.167388916016,-0.619125366211,-3.29761505127
0.103,-0.167770385742,-0.619125366211,-3.29761505127
0.104,-0.167388916016,-0.622940063477,-3.30142974854
0.105,-0.167388916016,-0.622940063477,-3.29761505127
0.106,-0.167770385742,-0.622940063477,-3.30142974854
0.107,-0.167388916016,-0.619125366211,-3.29761505127
0.108,-0.11173248291,6.25,-2.20375061035
0.109,0.0720024108887,2.52208709717,1.47018432617
0.11,0.134525299072,1.25255584717,2.71644592285
0.111,0.15625,0.825691223145,3.14712524414
0.112,0.163497924805,0.67310333252,3.29189300537
0.113,0.165786743164,0.623512268066,3.34148406982
0.114,0.166549682617,0.61206817627,3.36055755615
0.115,0.166931152344,0.604438781738,3.36055755615
0.116,0.166931152344,0.600624084473,3.36818695068
0.117,0.166931152344,0.600624084473,3.36818695068
0.118,0.16731262207,0.600624084473,3.36437225342
0.119,0.166931152344,0.596809387207,3.36437225342
0.12,0.166931152344,0.596809387207,3.36437225342
0.121,0.166931152344,0.596809387207,3.36437225342
0.122,0.166931152344,0.596809387207,3.36055755615
0.123,0.166931152344,0.596809387207,3.36055755615
0.124,0.166931152344,0.596809387207,3.36437225342
0.125,0.166931152344,0.593185424805,3.36055755615
0.126,0.166931152344,0.593185424805,3.36437225342
0.127,0.166931152344,0.593185424805,3.36055755615
0.128,0.16731262207,0.593185424805,3.36437225342
0.129,0.166931152344,0.589370727539,3.36437225342
0.13,0.16731262207,0.593185424805,3.36055755615
0.131,0.166931152344,0.593185424805,3.36437225342
0.132,0.16731262207,0.596809387207,3.36437225342
0.133,0.166931152344,0.596809387207,3.36437225342
0.134,0.166931152344,0.600624084473,3.36818695068
0.135,0.166931152344,0.600624084473,3.36437225342
0.136,0.166931152344,0.600624084473,3.36437225342
0.137,0.166931152344,0.600624084473,3.36437225342
0.138,0.16731262207,0.596809387207,3.36437225342
0.139,0.16731262207,0.600624084473,3.36437225342
0.14,0.166931152344,0.596809387207,3.36437225342
0.141,0.16731262207,0.600624084473,3.36818695068
0.142,0.166931152344,0.596809387207,3.36818695068
0.143,0.166931152344,0.596809387207,3.36437225342
0.144,0.16731262207,0.596809387207,3.36818695068
0.145,0.166931152344,0.596809387207,3.36818695068
0.146,0.166931152344,0.596809387207,3.36818695068
0.147,0.166931152344,0.596809387207,3.36818695068
0.148,0.166931152344,0.593185424805,3.36437225342
0.149,0.166931152344,0.589370727539,3.36818695068
0.15,0.166931152344,0.593185424805,3.36818695068
0.151,0.16731262207,0.593185424805,3.37200164795
0.152,0.166931152344,0.589370727539,3.36818695068
